date,week,name
12/10/24,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/24,sábado,Finados
15/11/24,sexta-feira,Proclamação da República
25/12/24,quarta-feira,Natal
01/01/25,quarta-feira,Confraternização Universal
03/03/25,segunda-feira,Carnaval
04/03/25,terça-feira,Carnaval
18/04/25,sexta-feira,Paixão de Cristo
21/04/25,segunda-feira,Tiradentes
01/05/25,quinta-feira,Dia do Trabalho
19/06/25,quinta-feira,Corpus Christi
07/09/25,domingo,Independência do Brasil
12/10/25,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/25,domingo,Finados
15/11/25,sábado,Proclamação da República
25/12/25,quinta-feira,Natal
01/01/26,quinta-feira,Confraternização Universal
16/02/26,segunda-feira,Carnaval
17/02/26,terça-feira,Carnaval
03/04/26,sexta-feira,Paixão de Cristo
21/04/26,terça-feira,Tiradentes
01/05/26,sexta-feira,Dia do Trabalho
04/06/26,quinta-feira,Corpus Christi
07/09/26,segunda-feira,Independência do Brasil
12/10/26,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/26,segunda-feira,Finados
15/11/26,domingo,Proclamação da República
25/12/26,sexta-feira,Natal
01/01/27,sexta-feira,Confraternização Universal
08/02/27,segunda-feira,Carnaval
09/02/27,terça-feira,Carnaval
26/03/27,sexta-feira,Paixão de Cristo
21/04/27,quarta-feira,Tiradentes
01/05/27,sábado,Dia do Trabalho
27/05/27,quinta-feira,Corpus Christi
07/09/27,terça-feira,Independência do Brasil
12/10/27,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/27,terça-feira,Finados
15/11/27,segunda-feira,Proclamação da República
25/12/27,sábado,Natal
01/01/28,sábado,Confraternização Universal
28/02/28,segunda-feira,Carnaval
29/02/28,terça-feira,Carnaval
14/04/28,sexta-feira,Paixão de Cristo
21/04/28,sexta-feira,Tiradentes
01/05/28,segunda-feira,Dia do Trabalho
15/06/28,quinta-feira,Corpus Christi
07/09/28,quinta-feira,Independência do Brasil
12/10/28,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/28,quinta-feira,Finados
15/11/28,quarta-feira,Proclamação da República
25/12/28,segunda-feira,Natal
01/01/29,segunda-feira,Confraternização Universal
12/02/29,segunda-feira,Carnaval
13/02/29,terça-feira,Carnaval
30/03/29,sexta-feira,Paixão de Cristo
21/04/29,sábado,Tiradentes
01/05/29,terça-feira,Dia do Trabalho
31/05/29,quinta-feira,Corpus Christi
07/09/29,sexta-feira,Independência do Brasil
12/10/29,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/29,sexta-feira,Finados
15/11/29,quinta-feira,Proclamação da República
25/12/29,terça-feira,Natal
01/01/30,terça-feira,Confraternização Universal
04/03/30,segunda-feira,Carnaval
05/03/30,terça-feira,Carnaval
19/04/30,sexta-feira,Paixão de Cristo
21/04/30,domingo,Tiradentes
01/05/30,quarta-feira,Dia do Trabalho
20/06/30,quinta-feira,Corpus Christi
07/09/30,sábado,Independência do Brasil
12/10/30,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/30,sábado,Finados
15/11/30,sexta-feira,Proclamação da República
25/12/30,quarta-feira,Natal
01/01/31,quarta-feira,Confraternização Universal
24/02/31,segunda-feira,Carnaval
25/02/31,terça-feira,Carnaval
11/04/31,sexta-feira,Paixão de Cristo
21/04/31,segunda-feira,Tiradentes
01/05/31,quinta-feira,Dia do Trabalho
12/06/31,quinta-feira,Corpus Christi
07/09/31,domingo,Independência do Brasil
12/10/31,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/31,domingo,Finados
15/11/31,sábado,Proclamação da República
25/12/31,quinta-feira,Natal
01/01/32,quinta-feira,Confraternização Universal
09/02/32,segunda-feira,Carnaval
10/02/32,terça-feira,Carnaval
26/03/32,sexta-feira,Paixão de Cristo
21/04/32,quarta-feira,Tiradentes
01/05/32,sábado,Dia do Trabalho
27/05/32,quinta-feira,Corpus Christi
07/09/32,terça-feira,Independência do Brasil
12/10/32,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/32,terça-feira,Finados
15/11/32,segunda-feira,Proclamação da República
25/12/32,sábado,Natal
01/01/33,sábado,Confraternização Universal
28/02/33,segunda-feira,Carnaval
01/03/33,terça-feira,Carnaval
15/04/33,sexta-feira,Paixão de Cristo
21/04/33,quinta-feira,Tiradentes
01/05/33,domingo,Dia do Trabalho
16/06/33,quinta-feira,Corpus Christi
07/09/33,quarta-feira,Independência do Brasil
12/10/33,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/33,quarta-feira,Finados
15/11/33,terça-feira,Proclamação da República
25/12/33,domingo,Natal
01/01/34,domingo,Confraternização Universal
20/02/34,segunda-feira,Carnaval
21/02/34,terça-feira,Carnaval
07/04/34,sexta-feira,Paixão de Cristo
21/04/34,sexta-feira,Tiradentes
01/05/34,segunda-feira,Dia do Trabalho
08/06/34,quinta-feira,Corpus Christi
07/09/34,quinta-feira,Independência do Brasil
12/10/34,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/34,quinta-feira,Finados
15/11/34,quarta-feira,Proclamação da República
25/12/34,segunda-feira,Natal
01/01/35,segunda-feira,Confraternização Universal
05/02/35,segunda-feira,Carnaval
06/02/35,terça-feira,Carnaval
23/03/35,sexta-feira,Paixão de Cristo
21/04/35,sábado,Tiradentes
01/05/35,terça-feira,Dia do Trabalho
24/05/35,quinta-feira,Corpus Christi
07/09/35,sexta-feira,Independência do Brasil
12/10/35,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/35,sexta-feira,Finados
15/11/35,quinta-feira,Proclamação da República
25/12/35,terça-feira,Natal
01/01/36,terça-feira,Confraternização Universal
25/02/36,segunda-feira,Carnaval
26/02/36,terça-feira,Carnaval
11/04/36,sexta-feira,Paixão de Cristo
21/04/36,segunda-feira,Tiradentes
01/05/36,quinta-feira,Dia do Trabalho
12/06/36,quinta-feira,Corpus Christi
07/09/36,domingo,Independência do Brasil
12/10/36,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/36,domingo,Finados
15/11/36,sábado,Proclamação da República
25/12/36,quinta-feira,Natal
01/01/37,quinta-feira,Confraternização Universal
16/02/37,segunda-feira,Carnaval
17/02/37,terça-feira,Carnaval
03/04/37,sexta-feira,Paixão de Cristo
21/04/37,terça-feira,Tiradentes
01/05/37,sexta-feira,Dia do Trabalho
04/06/37,quinta-feira,Corpus Christi
07/09/37,segunda-feira,Independência do Brasil
12/10/37,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/37,segunda-feira,Finados
15/11/37,domingo,Proclamação da República
25/12/37,sexta-feira,Natal
01/01/38,sexta-feira,Confraternização Universal
08/03/38,segunda-feira,Carnaval
09/03/38,terça-feira,Carnaval
21/04/38,quarta-feira,Tiradentes
23/04/38,sexta-feira,Paixão de Cristo
01/05/38,sábado,Dia do Trabalho
